Question Stem,Correct1,Incorrect1,Incorrect 2,Incorrect 3,Category1,Category2,Category3,Category4,,
A well-defined radiolucency with calcified structures within it showed ghost cells when biopsied. The most likely diagnosis is a,Calcifying odontogenic cyst,Odontogenic keratocyst,Dentigerous cyst,Primordial cyst,Odontogenic,,,,,
The developmental odontogenic cyst that surrounds the crown of an impacted tooth is the ,Dentigerous cyst,Gingival cyst,Buccal bifurcation cyst,Incisive canal cyst,Odontogenic,,,,,
"Compared to other odontogenic cysts, the odontogenic keratocyst (OKC) has a relatively high recurrence rate.",TRUE,FALSE,,,Odontogenic,,,,,
Gorlin syndrome is an autosomal recessive condition caused by mutations linked to a tumor suppressor gene (PTCH) that has been mapped to chromosome 9. ,FALSE,TRUE,,,Odontogenic,,,,,
The orthokeratinized odontogenic cyst demonstrated a low recurrence rate. Simple enucleation and curettage is the typical treatment of choice.,TRUE,FALSE,,,Odontogenic,,,,,
"Gingival cysts of the newborn are small, superficial, keratin-filled cysts come commonly found in the maxillary alveolus than the mandible.",TRUE,FALSE,,,Odontogenic,,,,,
The soft tissue counterpart of the lateral periodontal cyst is the ,Gingival cyst of the adult,Gingival cyst of the newborn,Odontogenic keratocyst,Calcifying odontogenic cyst,Odontogenic,,,,,
The lateral periodontal cyst typically appears as a well-circumscribed radiolucency occurring in what anatomic location?,"Interradicular region, mandibular premolar-canine-lateral incisor area","Periapical region, maxillary central incisors","Interradicular region, maxillary central incisors","Pericoronal region, mandibular third molars",Odontogenic,,,,,
Which of the following odontogenic cysts has a predilection for the anterior maxilla?,Calcifying odontogenic cyst,Dentigerous cyst,Glandular odontogenic cyst,Orthokeratinized odontodenic cyst,Odontogenic,,,,,
"What odontogenic cyst demonstrated histopathologic overlap with the intraosseous, low-grade, mucoepidermoid carcinoma?",Glandular odontogenic cyst,Odontogenic keratocyst (OKC),Orthokeratinized odontogenic cyst,Buccal bifurcation cyst,Odontogenic,,,,,
The glandular odontogenic cyst has a strong predilection for what anatomic region?,Anterior mandible,Anterior maxilla,Posterior mandible,Posterior maxilla,Odontogenic,,,,,
The buccal bifurcation cyst is considered to be a developmental odontogenic cyst.,FALSE,TRUE,,,Odontogenic,,,,,
Most carcinomas arising within an odontogenic cyst have histopathologically been reported as ,Well-differentiated squamous cell carcinoma,Well-differentiated adenocarcinoma,Poorly differentiated squamous cell carcinoma,Poorly differentiated adenocarcinoma,Odontogenic,Epithelial Pathology,,,,
What odontogenic cyst frequently demonstrates the presence of radiographic irregular radiopaque structures?,Calcifying odontogenic cyst,Dentigerous cyst,Odontogenic keratocyst,Glandular odontogenic cyst,Odontogenic,,,,,
The ameloblastoma is considered to be a benign yet locally invasive tumor.,TRUE,FALSE,,,Odontogenic,,,,,
The ameloblastoma is considered to be an odontogenic neoplasm composed of odontogenic ,Epithelium,Epithelium and ectomesenchyme,Ectomesenchyme,,Odontogenic,,,,,
Marginal resection is the most widely used treatment for ameloblastomas with many surgeons advocating that the margin of  resection should be at least 1.0-1.5 cm past the radiographic limits of the tumor.,TRUE,FALSE,,,Odontogenic,,,,,
Malignant ameloblastomas demonstrate benign histopathologic features in both the primary tumor and in the metastatic deposits.,TRUE,FALSE,,,Odontogenic,Soft Tissue,,,,
The adenomatoid odontogenic tumor frequently demonstrates a well-defined capsule allowing this tumor to be easily enucleated from bone.,TRUE,FALSE,,,Odontogenic,,,,,
The calcifying epithelial odontogenic tumor is also widely known as the ,Pindborg tumor,Gorlin cyst,Odontogenic myxoma,Ameloblastic fibroma,Odontogenic,,,,,
What odontogenic tumor typically presents as a slow growing lytic defect with radiopaque structures frequently associated with an impacted mandibular third molar and demonstrated amyloid-like material via histochemical testing?,Calcifying epithelial odontogenic tumor,Calcifying odontogenic cyst,Squamous odontogenic cyst,Odontogenic myxoma,Odontogenic,,,,,
"The ameloblastic fibroma is a ""mixed odontogenic tumor"" frequently seen in the anterior maxilla of children.",TRUE  ,FALSE,,,Odontogenic,,,,,
"The ameloblastic fibro-odontoma is defined as a tumor with the general features of an ameloblastic fibroma, but also contains enamel matrix and dentin material. ",TRUE,FALSE,,,Odontogenic,,,,,
"The ameloblastic fibrosarcoma can occur de novo, although approximately 50% of cases represent malignant transformation of what incompletely excised entity?",Ameloblastic fibroma,Gorlin cyst,Pindborg tumor,Ameloblastoma,Odontogenic,,,,,
What is the most common odontogenic tumor?,Odontoma,Ameloblastoma,Ameloblastic fibroma,Pindborg tumor,Odontogenic,,,,,
"Due to lack of a definitive capsule, the central odontogenic fibroma is usually treated via marginal resection.",FALSE,TRUE,,,Odontogenic,,,,,
Features consistent with the odontogenic myxoma include all of the following EXCEPT,Derived from odontogenic epithelium and ectomesenchyme,Posterior mandible predilection,"Expansile, ""soap bubble"" radiolucency",Derived from odontogenic epithelium and ectomesenchyme,Odontogenic,,,,,
"What odontogenic tumor or cyst demonstrates the presence of ""ghost cells"" upon histomorphologic review?",Calcifying odontogenic cyst,Calcifying epithelial odontogenic tumor,Odontogenic myxoma,Ameloblastoma,Odontogenic,,,,,
Which of the following odontogenic tumors or cysts frequently occur in the anterior maxilla?,Adenomatoid odontogenic tumor,Ameloblastoma,Odontogenic keratocyst,Glandular odontogenic cyst,Odontogenic,Salivary,,,,
That odontogenic cyst listed below is the result of an inflammatory reaction?,Periapical cyst,Dentigerous cyst,Lateral periodontal cyst,Glandular odontogenic cyst,Odontogenic,,,,,
The dentigerous cyst is the most common developmental odontogenic cyst and usually occurs in mandibular third molars. ,TRUE,FALSE,,,Odontogenic,,,,,
"Benign odontogenic epithelial tumors capable of significant expansion, with common occurrence in the molar-ramus area of the mandible, describes",Ameloblastoma,Basal cell adenoma,Calcifying epithelial cyst ,Desmoplastic fibroma,Odontogenic,,,,,
"The benign tumor that frequently occurs in the anterior jaws, commonly in the second decade, and occurs in females twice as often as males, is the ",Adenomatoid odontogenic tumor,Unicystic ameloblastoma,Calcifying epithelial odontogenic tumor,Glandular odontogenic cyst,Odontogenic,,,,,
"The benign tumor that often overlies impacted mandibular molars, has pools of amyloid, and Liesegang ring calcification histologically is the ",Calcifying epithelial odontogenic tumor,Squamous odontogenic tumor,Adenomatoid odontogenic tumor,Ameloblastic fibroma,Odontogenic,,,,,
The most common type of odontogenic tumor (or hamartoma) that radiographically consists of multiple microdonts or toothlets is the ,Compound odontoma,Ameloblastic fibroma,Cementoblastoma,Squamous odontogenic tumor,Odontogenic,,,,,
An uncommon odontogenic cyst that has cystic and neoplastic features and eosinophilic ghost cells histologically is the ,Calcifying odontogenic cyst,Glandular odontogenic cyst ,Gingival cyst of the adult,Gingival cyst of the newborn,Odontogenic,,,,,
Most jaw cysts are lined by epithelium derived from ,Tooth development,Inflammation,Embryonic lines of fusion,Salivary glands,Odontogenic,,,,,
A developmental odontogenic cyst that originates by separation of the tooth follicle from around the crown of an unerupted tooth is the ,Dentigerous cyst,Periapical cyst,Lateral periodontal cyst,Residual cyst,Odontogenic,,,,,
"The cyst that has a syndrome associated, a tendency to recur, and specific histologic features is the ",Odontogenic keratocyst,Residual cyst,Dentigerous cyst ,Incisive canal cyst,Odontogenic,,,,,
"A multilocular radiolucency is noted in the posterior mandible. The biopsy shows a cyst 6-8 cells thick, with a hyper chromatic palisaded basal cell layer, and a corrugated parakeratotic surface. Your diagnosis is",Odontogenic keratocyst,Dentigerous cyst,Lateral periodontal cyst,Gingival cyst,Odontogenic,,,,,
"Hypertelorism, OKCs, skin lesions, and rib anomalies are features of ",Gorlin syndrome,Horner syndrome,Hurler syndrome,ODD syndrome,Odontogenic,Syndromes,,,,
The soft tissue analogue of the dentigerous cyst is the ,Eruption cyst ,Gingival cyst,Mucoepidermoid cyst,Ecchymosis,Odontogenic,,,,,
A 18-year-old female with an unerupted maxillary canine has a well-circumscribed radiolucency surrounding the impacted canine evident on radiograph. Your radiographic impression is ,Adenomatoid odontogenic tumor,Cementoblastoma,Ameloblastic fibroma,Complex odontoma,Odontogenic,,,,,
An odontogenic tumor that shows amyloid and Liesegang rings histologically is the ,Calcifying epithelial odontogenic tumor,Odontoma,Ameloblastoma,Ameloblastic fibroma,Odontogenic,,,,,
A tumor that has the radiographic appearance of vertical bone loss in periodontal disease is the ,Squamous odontogenic tumor,Ameloblastoma,Clear cell odontogenic tumor,Cementoblastoma,Odontogenic,,,,,
"A large multilocular radiolucency is noted in the posterior mandible of a 38-year-old male. Clinically, marked facial asymmetry from bony expansion is noted. Your clinical impression is ",Ameloblastoma,Adenomatoid odontogenic tumor,Complex odontoma,Cementoblastoma,Odontogenic,,,,,
A pericoronal radiolucency is characteristic of a ,Dentigerous cyst,Complex odontoma,Periapical cyst,Radicular cyst,Odontogenic,,,,,
__________ is the most common type of developmental odontogenic cyst.,Dentigerous cyst,Periapical cyst,Eruption cyst,Residual cyst,Odontogenic,,,,,
"Your patient presents with a large, well-defined radiolucency in his posterior mandible. The patient has no symptoms. What radiographic features might assist in your differential in determining whether this is an ameloblastoma or a KOT (keratocystic odontogenic tumor)? ","Ameloblastoma has a tendency to grow in a buccal-lingual direction, while the KCOT has a tendency to grow in an antero-posterior direction.  ","Ameloblastoma is malignant, so a histological slide will show you malignant transformation (such as increased mitotic activity)",KCOTs are often “mixed-density” lesions (You should assess for radiographic calcifications.),Ameloblastomas can only be unilocular. (You should assess whether this is unilocular or multilocular.),Odontogenic,,,,,
The ameloblastic fibroma is a “mixed density” lesion often seen in the posterior mandible of children.,TRUE,FALSE,,,Odontogenic,,,,,
The dentigerous cyst is a common developmental cyst that most commonly occurs in the area of the mandibular third molars. ,TRUE,FALSE,,,Odontogenic,,,,,
The lateral periodontal cyst typically appears as a well-circumscribed radiolucency occurring in what anatomic location? ,"Inter radicular area, mandibular premolar-canine-lateral incisor area",Periapex of mandibular incisors ,Maxillary incisor area ,Mandibular third molar region,Odontogenic,,,,,
The MOST common cyst of the jawbone is derived from what epithelial structure(s)?,Rests of Malassez,Reduced enamel epithelium,Rests of Serres,Rests of the dental lamina,Odontogenic,,,,,
Which of the following cysts is MOST likely to undergo malignant transformation?,Residual cyst,Primordial cyst,Odontogenic keratocyst,Botryoid odontogenic cyst,Odontogenic,,,,,
“Ghost cells” are a microscopic feature of which of the following odontogenic cysts?,Calcifying cystic odontogenic tumor (calcifying odontogenic cyst),Glandular odontogenic cyst,Botryoid odontogenic cyst,Odontogenic keratocyst (keratocystic odontogenic tumor),Odontogenic,,,,,
Where would you be MOST likely to see a gingival cyst of the adult?,Near #27 and 28,Slightly posterior to tooth #11,In the area of tooth #30 ,Between #8 and 9,Odontogenic,,,,,
Which tumor contains amyloid and concentric calcifications known as Liesegang rings?,Calcifying epithelial odontogenic tumor / Pindborg tumor,Ameloblastic fibroma,Calcifying cystic odontogenic tumor /calcifying odontogenic cyst/ Gorlin cyst,Ameloblastoma,Odontogenic,Soft Tissue,,,,
________ is the most common type of developmental odontogenic cyst.,Dentigerous cyst,Periapical cyst,Eruption cyst,Residual cyst,Odontogenic,,,,,
What is the most common type of odontogenic tumor?,Odontoma,Ameloblastoma,Adenomatoid odontogenic tumor,Ameloblastic fibroma,Odontogenic,,,,,
"Which of the following lesions often presents as a well-defined, “mixed radiolucent-radiopaque” lesion?",Calcifying odontogenic cyst/Gorlin cyst/ Calcifying odontogenic cyst,Odontogenic keratocyst/ keratocystic odontogenic tumor,Dentigerous cyst,Periapical cyst,Odontogenic,,,,,
What is typically the most appropriate treatment for a gingival cyst of the adult?,Excisional biopsy,Aspiration,Incisional biopsy,No treatment,Odontogenic,,,,,
Which odontogenic tumor demonstrates the presence of ghost cells upon histological examination?,Calcifying Cystic Odontogenic Tumor / Calcifying Odontogenic Cyst,Keratocystic Odontogenic Tumor/Odontogenic Keratocyst,Odontoma,Calcifying Epithelial Odontogenic Tumor/ Pindborg Tumor,Odontogenic,,,,,
What is the most common cyst of the jawbone?   ,Radicular cyst,Dentigerous cyst ,Keratocystic Odontogenic Tumor (Odontogenic keratocyst),Eruption cyst,Odontogenic,,,,,
All of the following lesions are thought to be derived from remnants of the dental lamina EXCEPT one. Which one is the EXCEPTION?,Dentigerous cyst ,Lateral periodontal cyst    ,Keratocystic Odontogenic Tumor (Odontogenic keratocyst),Lateral radicular cyst ,Odontogenic,,,,,
"Examining the sample of a biopsied lesion, you see large eosinophilic altered epithelial cells without nuclei (“ghost cells”). What is your diagnosis?",Calcifying cystic odontogenic tumor (Calcifying odontogenic cyst),Globulomaxillary cyst,Keratocystic Odontogenic Tumor (Odontogenic keratocyst),Glandular odontogenic cyst,Odontogenic,,,,,
